EmployeeID,Name,Department,JobTitle,ManagerID,City,EmploymentType,BirthDate,JoinDate,Salary_PKR,PerformanceRating,Skills,Email
E1171,Faisal Farooq,Customer Support,Support Team Lead,E1137,Rawalpindi,Part-Time,1985-01-26,2021-10-08,58900.0,3.7,Data Analysis,faisal.farooq@company.com
E1130,Areeba Raza,Engineering,QA Engineer,E1101,Lahore,Contract,1988-10-11,23/11/2022,193600.0,5.0,Leadership,areeba.raza@company.com
E1177,Junaid Farooq,Sales,Sales Executive,E1103,Multan,Contract,1975-07-21,2022-12-22,94900.0,,"Accounting, Data Analysis, Python, React",junaid.farooq@company.com
E1000,Iqra Iqbal,Sales,Sales Executive,,Islamabad,Part-Time,1981-02-10,05-May-2023,93000.0,4.2,SEO,iqra.iqbal@company.com
E1054,Zainab Khan,Engineering,Senior Software Engineer,E1018,Karachi,Contract,1977-09-28,27/08/2020,138200.0,3.9,"Accounting, Customer Service, React",zainab.khan@company.com
E1029,Ali Javed,Finance,Financial Analyst,E1023,Faisalabad,Contract,1978-12-28,06/11/2021,86800.0,4.5,"Cloud, Communication, Negotiation, Photoshop",ali.javed@company.com
E1056,Salman Farooq,Marketing,Marketing Specialist,E1003,Multan,Part-Time,1987-10-09,2018-05-12,87600.0,3.1,Photoshop,salman.farooq@company.com
E1170,Omar Sheikh,HR,HR Manager,,multan,Full-Time,1983-10-01,2020-12-07,79900.0,3.6,"Accounting, Data Analysis, Python",omar.sheikh@company.com
E1139,Sara Chaudhry,Finance,Accountant,E1135,Faisalabad,Full-Time,1988-01-03,08/08/2021,84800.0,3.0,"Communication, Excel, PowerBI, React",sara.chaudhry@company.com
E1025,Faisal Farooq,Engineering,DevOps Engineer,E1002,Rawalpindi,Contract,1983-10-05,10-Sep-2020,111100.0,4.3,"Data Analysis, PowerBI, Project Management",
E1150,Rizwan Sheikh,Customer Support,Support Team Lead,E1021,Multan,Contract,1999-05-01,26-Dec-2019,88400.0,4.0,"Accounting, Data Analysis, Project Management",rizwan.sheikh@company.com
E1003,Shahzaib Khan,Operations,Operations Manager,,islamabad,Contract,1999-10-20,2023-12-15,98900.0,,"PowerBI, Python",shahzaib.khan@company.com
E1061,Mahnoor Chaudhry,Sales,Sales Executive,E1020,Rawalpindi,Full-Time,1985-07-22,28-Sep-2021,99500.0,3.9,"Cloud, Customer Service, Leadership",mahnoor.chaudhry@company.com
E1101,Sidra Sheikh,HR,HR Executive,E1071,Multan,Contract,1985-02-17,18-Aug-2021,-86000.0,2.8,"Accounting, Cloud, Python",sidra.sheikh@company.com
E1042,Danish Butt,Engineering,QA Engineer,E1009,Multan,Part-Time,1982-08-14,08/05/2022,173900.0,,"Cloud, Customer Service, Python, React",danish.butt@company.com
E1016,Usman Iqbal,Marketing,Content Writer,E1002,Rawalpindi,Part-Time,1978-08-23,2019-08-12,106000.0,3.7,"Excel, Java, Leadership",usman.iqbal@company.com
E1169,Danish Farooq,Finance,Finance Manager,E1113,Karachi,Contract,1991-05-21,04/07/2021,85600.0,4.0,"Customer Service, Python",danish.farooq@company.com
E1052,Amna Chaudhry,HR,HR Executive,E1002,Faisalabad,Full-Time,1980-01-10,30/03/2020,83300.0,3.6,Excel,amna.chaudhry@company.com
E1098,Hassan Chaudhry,Customer Support,Support Agent,E1024,Karachi,Full-Time,1990-02-01,2020-10-01,,2.6,Photoshop,
E1118,Zeeshan Farooq,Marketing,SEO Analyst,E1107,Rawalpindi,Full-Time,1983-08-02,30-Jan-2022,104800.0,3.7,"Customer Service, Leadership",zeeshan.farooq@company.com
E1041,Mahnoor Raza,HR,HR Executive,E1033,Faisalabad,Contract,1990-10-17,23-Jul-2021,97200.0,3.8,"Communication, Photoshop, Project Management, React",mahnoor.raza@company.com
E1165,Danish Chaudhry,Customer Support,Support Agent,E1151,Rawalpindi,Contract,1980-12-21,19-Jul-2022,80000.0,3.3,Communication,danish.chaudhry@company.com
E1124,Laiba Iqbal,Operations,Operations Executive,E1058,Rawalpindi,Full-Time,1989-10-08,29/03/2019,89500.0,3.3,"Customer Service, React",laiba.iqbal@company.com
E1144,Komal Khan,Finance,Finance Manager,E1096,Multan,Full-Time,1981-02-01,2019-11-13,101500.0,3.8,"Cloud, PowerBI",komal.khan@company.com
E1026,Omar Khan,Finance,Accountant,E1011,Rawalpindi,Full-Time,1987-07-04,27-Jan-2019,102800.0,3.3,"Java, Leadership",omar.khan@company.com
