StudentID,StudentName,Gender,Class,Section,City,Math,Science,English,Urdu,Attendance_%
S0017,Talha Farooq,Male,10th,C,Taxila,52.0,27.0,76.0,86.0,95.7
S0032,Ayesha Javed,,9th,A,Lahore,96.0,54.0,93.0,45.0,89.8
S0140,Nimra Javed,F,12th,B,Wah Cantt,68.0,78.0,98.0,93.0,74.3
S0066,Hina Javed,male,12th,C,Lahore,101.0,89.0,58.0,90.0,93.4
S0058,Talha Khan,F,11th,B,Rawalpindi,76.0,,48.0,57.0,77.9
S0206,Ayesha Farooq,female,9th,C,Rawalpindi,81.0,62.0,70.0,73.0,67.1
S0007,Sara Farooq,Male,12th,A,Lahore,88.0,49.0,44.0,76.0,100.0
S0122,Sara Javed,female,12th,A,Wah Cantt,46.0,63.0,45.0,65.0,72.3
S0015,Iqra Chaudhry,Male,9th,A,Taxila,74.0,49.0,47.0,77.0,82.4
S0202,Iqra Chaudhry,male,11th,B,Karachi,84.0,79.0,102.0,73.0,65.1
S0039,Omar Farooq,Female,12th,B,Lahore,85.0,46.0,,74.0,89.1
S0011,Mahnoor Raza,female,11th,C,Rawalpindi,81.0,78.0,79.0,52.0,81.7
S0065,Laiba Farooq,Male,11th,B,Islamabad,79.0,78.0,65.0,72.0,100.0
S0083,Laiba Farooq,F,10th,A,Rawalpindi,67.0,44.0,76.0,55.0,90.8
S0024,Laiba Farooq,male,11th,A,Wah Cantt,62.0,65.0,61.0,55.0,74.8
S0068,Amna Malik,M,12th,A,Islamabad,60.0,105.0,69.0,46.0,91.7
S0103,Hassan Siddiqui,female,10th,B,Wah Cantt,69.0,72.0,56.0,51.0,83.8
S0234,Mariam Khan,,11th,C,Karachi,93.0,80.0,97.0,75.0,81.6
S0207,Noor Siddiqui,female,11th,B,Rawalpindi,61.0,87.0,88.0,74.0,100.0
S0138,Areeba Butt,M,9th,B,Wah Cantt,96.0,,73.0,102.0,90.8
S0004,Laiba Farooq,Male,12th,A,Islamabad,72.0,74.0,51.0,71.0,
S0041,Kinza Raza,F,10th,A,Wah Cantt,60.0,110.0,48.0,79.0,100.0
S0090,Mahnoor Malik,F,10th,B,Wah Cantt,85.0,71.0,74.0,,91.8
S0194,Junaid Farooq,M,12th,A,Karachi,58.0,82.0,70.0,44.0,80.8
S0112,Haris Farooq,M,9th,B,Wah Cantt,58.0,88.0,46.0,67.0,85.1
S0123,Noor Butt,Male,9th,B,Lahore,75.0,83.0,41.0,62.0,78.4
S0218,Waqas Khan,F,9th,A,Lahore,80.0,79.0,101.0,64.0,100.0
